,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
133,Papua New Guinea,0.51499999,PNG,9,1693.54,6.880000114440918,7.099999904632568,,,
73,Honduras,0.62300003,HND,2,3303.1399,,6.900000095367432,3.180157661437988,5.86775016784668,49.25936126708984
118,Namibia,0.63700002,NAM,4,4521.29,,6.5,3.05289626121521,,
42,Costa Rica,0.77499998,CRI,2,9485.71,,3.5,4.666448593139648,6.927239894866943,78.12113952636719
14,Barbados,0.79400003,BRB,10,22888.971,0.2790000140666962,5.400000095367432,5.040225982666016,6.573299884796143,99.42874908447266
18,Bosnia and Herzegovina,0.74699998,BIH,1,8507.6504,3.871000051498413,5.5,2.355769157409668,,
59,France (1963-),0.89399999,FRA,5,34007.898,64.02799987792969,2.200000047683716,4.381113052368164,5.492990016937256,99.44432830810548
126,Nigeria,0.52499998,NGA,4,2246.8201,160.3419952392578,7.099999904632568,2.85273027420044,,
158,Slovenia,0.88800001,SVN,1,24456.561,2.061000108718872,2.799999952316284,4.07301139831543,5.486589908599854,94.94590759277344
155,Singapore,0.92400002,SGP,7,54268.148,5.46999979019165,3.299999952316284,5.797279357910156,2.91579008102417,
162,Spain,0.88200003,ESP,5,31086.35,46.45500183105469,2.400000095367432,3.441691160202026,4.27092981338501,96.4586181640625
60,Djibouti,0.47,DJI,4,2685.5,,5.800000190734863,,,
34,Chad,0.39399999,TCD,4,1651.05,,8.600000381469727,2.528029441833496,2.849709987640381,
49,Dominica,0.72399998,DMA,10,12613.72,,,,,86.32093048095703
57,Fiji,0.73400003,FJI,9,3848.72,0.8799999952316284,7.599999904632568,,3.882889986038208,83.38211059570312
98,Libya,0.71899998,LBY,3,4102.8398,6.265999794006348,6.400000095367432,1.874972462654114,,
164,Sudan (2012-),0.48800001,SDN,4,,,8.800000190734863,,,
136,Philippines,0.67900002,PHL,7,3953.1001,100.1490020751953,6.199999809265137,4.54694414138794,,67.44245910644531
1,Albania,0.76200002,ALB,1,8516.7002,,7.099999904632568,4.111338615417481,3.539439916610718,85.27821350097656
156,Slovakia,0.84200001,SVK,1,21776.34,5.415999889373779,4.199999809265137,2.762844562530518,4.238560199737549,
53,Equatorial Guinea,0.58200002,GNQ,4,15412.43,,6.0,,,
171,Thailand,0.73799998,THA,7,9295.5703,68.65699768066406,4.099999904632568,3.44985032081604,4.128870010375977,83.64586639404297
186,United States,0.91799998,USA,5,47769.699,318.7890014648438,1.5,4.564571380615234,5.380780220031738,90.46228790283205
